Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.35479,-75.56934,D3_R_1_3,48.3,D,3,10,0.33,0.67,,D3_R_1_3,-41.98,0.05,-329.7,0.47,,,
-3.35479,-75.56934,D3_R_1_6,39.9,D,3,10,0.67,1,,D3_R_1_6,-47.68,0.04,-372.5,0.55,,,
-3.35479,-75.56934,D3_R_2_0,60.7,D,3,20,0,0.33,,D3_R_2_0,-43.49,0.05,-340.2,0.38,,,
-3.35479,-75.56934,D3_R_2_3,44,D,3,20,0.33,0.67,,D3_R_2_3,-44.81,0.03,-353.5,0.26,,,
-3.35479,-75.56934,D3_R_2_6,35.6,D,3,20,0.67,1,,D3_R_2_6,-45.63,0.06,-358.0,0.32,,,
-3.35479,-75.56934,D3_R_3_0,57.9,D,3,30,0,0.33,,D3_R_3_0,-42.88,0.04,-337.2,0.37,,,
-3.35479,-75.56934,D3_R_3_3,48.8,D,3,30,0.33,0.67,,D3_R_3_3,-40.47,0.06,-319.7,0.36,,,
-3.35479,-75.56934,D3_R_3_6,33.8,D,3,30,0.67,1,,D3_R_3_6,-45.75,0.07,-358.0,0.13,,,
-3.35479,-75.56934,D3_R_4_0,57.1,D,3,40,0,0.33,,D3_R_4_0,-43.51,0.05,-341.6,0.16,,,
-3.35479,-75.56934,D3_R_4_3,47.5,D,3,40,0.33,0.67,,D3_R_4_3,-45.04,0.02,-356.0,0.25,,,
-3.35479,-75.56934,D3_R_4_6,37.5,D,3,40,0.67,1,,D3_R_4_6,-45.26,0.05,-356.8,0.57,,,
-3.35479,-75.56934,D3_R_5_0,64,D,3,50,0,0.33,,D3_R_5_0,-42.35,0.06,-333.5,0.22,,,
-3.35479,-75.56934,D3_R_5_3,51.6,D,3,50,0.33,0.67,,D3_R_5_3,-44.31,0.09,-348.5,0.78,,,
-3.35479,-75.56934,D3_R_5_6,27.7,D,3,50,0.67,1,,D3_R_5_6,-44.36,0.09,-349.5,0.36,,,
-3.35479,-75.56934,D3_R_6_0,61.2,D,3,60,0,0.33,,D3_R_6_0,-42.34,0.02,-333.6,0.30,,,
-3.35479,-75.56934,D3_R_6_3,45,D,3,60,0.33,0.67,,D3_R_6_3,-43.41,0.02,-343.5,0.26,,,
-3.35479,-75.56934,D3_R_6_6,30,D,3,60,0.67,1,,D3_R_6_6,-48.08,0.06,-378.3,0.46,,,
-3.35479,-75.56934,D3_R_7_0,58.7,D,3,70,0,0.33,,D3_R_7_0,-42.71,0.01,-333.5,0.40,,,
-3.35479,-75.56934,D3_R_7_3,43.2,D,3,70,0.33,0.67,,D3_R_7_3,-46.36,0.06,-362.3,0.38,,,
-3.35479,-75.56934,D3_R_7_6,38.9,D,3,70,0.67,1,,D3_R_7_6,-46.73,0.05,-366.1,0.38,,,
-3.35479,-75.56934,D3_R_8_0,54,D,3,80,0,0.33,,D3_R_8_0,-41.48,0.07,-327.3,0.30,,,
-3.35479,-75.56934,D3_R_8_3,45.1,D,3,80,0.33,0.67,,D3_R_8_3,-44.56,0.08,-348.6,0.51,,,
-3.35479,-75.56934,D3_R_8_6,33.1,D,3,80,0.67,1,,D3_R_8_6,-45.32,0.04,-353.1,0.58,,,
-3.35479,-75.56934,D3_R_9_0,57.9,D,3,90,0,0.33,,D3_R_9_0,-42.34,0.04,-331.4,0.19,,,
-3.35479,-75.56934,D3_R_9_3,50.5,D,3,90,0.33,0.67,,D3_R_9_3,-46.16,0.04,-363.3,0.56,,,
-3.35479,-75.56934,D3_R_9_6,31.3,D,3,90,0.67,1,,D3_R_9_6,-48.22,0.03,-376.6,0.31,,,
-3.3769,-75.51953,C4_R_6_0,,C,4,60,0,0.33,,C4_R_6_0N,-44.40,0.09,-347.4,0.43,,,
-3.3769,-75.51953,C4_R_6_3,,C,4,60,0.3,0.67,,C4_R_6_3N,-44.48,0.05,-350.9,0.71,,,
-3.3769,-75.51953,C4_R_6_6,,C,4,60,0.67,1,,C4_R_6_6N,-43.38,0.06,-342.5,0.52,,,
-3.3769,-75.51953,C4_R_7_0,,C,4,70,0,0.33,,C4_R_7_0NN,-42.50,0.02,-334.1,0.09,,,
-3.3769,-75.51953, C4_R_7_3,,C,4,70,0.3,0.67,, C4_R_7_3N,-44.20,0.05,-350.0,0.42,,,
-3.3769,-75.51953,C4_R_7_6,,C,4,70,0.67,1,,C4_R_7_6,-44.00,0.01,-346.1,0.19,,,
-3.3769,-75.51953,C4_R_8_0,,C,4,80,0,0.33,,C4_R_8_0,-42.76,0.02,-334.7,0.11,,,
-3.3769,-75.51953,C4_R_8_3,,C,4,80,0.3,0.67,,C4_R_8_3,-43.99,0.01,-344.7,0.19,,,
-3.3769,-75.51953,C4_R_8_6,,C,4,80,0.67,1,,C4_R_8_6,-46.89,0.07,-367.5,0.36,,,
-3.3769,-75.51953,C4_R_9_0,,C,4,90,0,0.33,,C4_R_9_0,-44.18,0.03,-346.1,0.17,,,
-3.3769,-75.51953,C4_R_9_3,,C,4,90,0.3,0.67,,C4_R_9_3,-42.34,0.03,-333.2,0.15,,,
-3.3769,-75.51953,C4_R_9_6,,C,4,90,0.67,1,,C4_R_9_6,-42.07,0.01,-333.7,0.13,,,
-3.27938,-75.55715,D4_R_0_0,49,D,4,0,0,0.33,,D4_R_0_0,-42.44,0.07,-333.8,0.57,,,
-3.27938,-75.55715,D4_R_0_3,41.9,D,4,0,0.33,0.67,,D4_R_0_3,-45.65,0.06,-358.4,0.43,,,
-3.27938,-75.55715,D4_R_0_6,34.9,D,4,0,0.67,1,,D4_R_0_6,-43.16,0.07,-339.4,0.56,,,
-3.27938,-75.55715,D4_R_1_0,57.4,D,4,10,0,0.33,,D4_R_1_0,-42.34,0.08,-332.4,0.60,,,
-3.27938,-75.55715,D4_R_1_3,47.9,D,4,10,0.33,0.67,,D4_R_1_3,-45.73,0.07,-360.1,0.29,,,
-3.27938,-75.55715,D4_R_1_6,27.4,D,4,10,0.67,1,,D4_R_1_6,-45.45,0.06,-357.7,0.43,,,
-3.27938,-75.55715,D4_R_2_0,49,D,4,20,0,0.33,,D4_R_2_0,-40.82,0.04,-321.0,0.80,,,
-3.27938,-75.55715,D4_R_2_3,42.2,D,4,20,0.33,0.67,,D4_R_2_3,-41.66,0.03,-327.1,0.30,,,
-3.27938,-75.55715,D4_R_2_6,34.4,D,4,20,0.67,1,,D4_R_2_6,-45.49,0.06,-357.8,0.61,,,
-3.27938,-75.55715,D4_R_3_0,48.7,D,4,30,0,0.33,,D4_R_3_0,-42.32,0.01,-333.3,0.25,,,
-3.27938,-75.55715,D4_R_3_3,40.8,D,4,30,0.33,0.67,,D4_R_3_3,-41.74,0.04,-327.6,0.30,,,
-3.27938,-75.55715,D4_R_3_6,31.1,D,4,30,0.67,1,,D4_R_3_6,-43.74,0.01,-344.8,0.07,,,
-3.27938,-75.55715,D4_R_4_0,53.4,D,4,40,0,0.33,,D4_R_4_0,-42.55,0.08,-333.2,0.74,,,
-3.27938,-75.55715,D4_R_4_3,43.5,D,4,40,0.33,0.67,,D4_R_4_3,-43.64,0.01,-341.8,0.04,,,
-3.27938,-75.55715,D4_R_4_6,35,D,4,40,0.67,1,,D4_R_4_6,-43.43,0.01,-340.6,0.06,,,
-3.27938,-75.55715,D4_R_5_0,53.9,D,4,50,0,0.33,,D4_R_5_0,-42.37,0.01,-332.0,0.04,,,
-3.27938,-75.55715,D4_R_5_3,46.5,D,4,50,0.33,0.67,,D4_R_5_3,-44.33,0.00,-348.6,0.04,,,
-3.27938,-75.55715,D4_R_5_6,35.5,D,4,50,0.67,1,,D4_R_5_6,-43.51,0.05,-341.2,0.51,,,
-3.27938,-75.55715,D4_R_6_0,59.2,D,4,60,0,0.33,,D4_R_6_0,-43.36,0.02,-341.2,0.37,,,
-3.27938,-75.55715,D4_R_6_3,28.9,D,4,60,0.33,0.67,,D4_R_6_3,-46.80,0.02,-368.2,0.03,,,
-3.27938,-75.55715,D4_R_6_6,37,D,4,60,0.67,1,,D4_R_6_6,-43.58,0.01,-342.9,0.01,,,
-3.27938,-75.55715,D4_R_7_0,37.7,D,4,70,0,0.33,,D4_R_7_0,-42.07,0.01,-331.1,0.06,,,
